"STREET NAME";"STREET NAME 1ST PART";"STREET NAME 2ND PART";"TOWN IF NOT GLASGOW";"ALTERNATIVE SPELLING";"DIRECTORY START scan 585";"DIRECTORY END scan 789"
"Abbotsford Lane";"Abbotsford";"Lane";;;;
"Abbotsford Place";"Abbotsford";"Place";;;;
"Abercorn Street";"Abercorn";"Street";;;;
"Abercromby Place";"Abercromby";"Place";;;;
"Abercromby Street";"Abercromby";"Street";;"east, west";;
"Abercromby Terrace";"Abercromby";"Terrace";;;;
"Abington Street";"Abington";"Street";;;;
"Abyssinia Place";"Abyssinia ";"Place";;;;
"Adam's Court Lane";"Adam's Court";"Lane";;;;
"Adelaide Place";"Adelaide";"Place";;;;
"Adelphi Street";"Adelphi ";"Street";"Bridgeton";"South";;
"Adelphi Terrace";"Adelphi ";"Terrace";;;;
"Afton Crescent";"Afton";"Crescent";;;;
"Afton Terrace";"Afton";"Terrace";;;;
"Agnew Place";"Agnew";"Place";"Crosshill, Garnethill";;;
"Ailsa Terrace";"Ailsa";"Terrace";"Hillhead";;;
"Airlie Terrace";"Airlie";"Terrace";"Pollockshields";;;
"Albany Place";"Albany";"Place";;;;
"Albany Street";"Albany";"Street";"Kelvinside";;;
"Albany Terrace";"Albany";"Terrace";;;;
"Albert Drive";"Albert ";"Drive";"Crosshill";;;
"Albert Place";"Albert ";"Place";;;;
"Albert Road";"Albert ";"Road";"(East) Crosshill, Langside, (North) Pollockshields";;;
"Albert Street";"Albert ";"Street";"Townhead, Pollockshields";;;
"Albert Terrace";"Albert ";"Terrace";;;;
"Alberta Terrace";"Alberta";"Terrace";"Kelvinside";;;
"Albion Crescent";"Albion";"Crescent";"Hillhead";;;
"Albion Place";"Albion";"Place";"Hillhead";;;
"Albion Street ";"Albion";"Street";;"North, South";;
"Albyn Street";"Albyn";"Street";;;;
"Albyn Terrace";"Albyn";"Terrace";;;;
"Alexander Street";"Alexander";"Street";;;;
"Alexandra Parade";"Alexandra";"Parade";"Dennistoun";;;
"Alexandra Place";"Alexandra";"Place";;;;
"Alexandra Street";"Alexandra";"Street";"Partick";;;
"Alfred Terrace";"Alfred";"Terrace";"Hillhead";;;
"Alice Place";"Alice";"Place";"Govanhill";;;
"Alice Street";"Alice";"Street";;;;
"Allander Street";"Allander";"Street";"Possilpark";;;
"Allanton Terrace";"Allanton";"Terrace";"Govanhill";;;
"Allison Street";"Allison";"Street";"Govanhill";;;
"Alva Terrace";"Alva";"Terrace";"Govanhill";;;
"Anderson Street";"Anderson";"Street";"Gallowgate, Partick, Kinningpark";;;
"Anderston Quay";"Anderston";"Quay";;;;
"Ann Street";"Ann ";"Street";"Glasgow, Bridgeton, Hillhead, Port-Dundas";;;
"Annette Street";"Annette";"Street";"Govanhill";;;
"Annfield Place";"Annfield";"Place";;;;
"Annfield Road";"Annfield";"Road";"Partick";;;
"Annfield Street";"Annfield";"Street";;;;
"Annfield Terrace";"Annfield";"Terrace";"Partick";;;
"Apsley Place";"Apsley";"Place";;"North, South";;
"Arden Street";"Arden";"Street";;;;
"Ardgowam Terrace";"Ardgowan";"Terrace";;;;
"Ardgowan Street";"Ardgowan";"Street";;;;
"Ardine Terrace";"Ardine ";"Terrace";"Govanhill, Crosshill";;;
"Ardoch Street";"Ardoch";"Street";"Possil Park";;;
"Argyle Arcade";"Argyle";"Arcade";;;;
"Argyle Plase";"Argyle";"Place";"Springburn, Partick";;;
"Argyle Street";"Argyle";"Street";;;;
"Argyle Terrace";"Argyle";"Terrace";"Langside, Crosshill";;;
"Ark Lane";"Ark";"Lane";;;;
"Arlington Street";"Arlington";"Street";;;;
"Armadale Street";"Armadale";"Street";;;;
"Armour Street";"Armour";"Street";;;;
"Arthur Street";"Arthur";"Street";"Glasgow, Overnewton";;;
"Ashburne";"Ashburne";;"Partick";;;
"Ashgrove Terrace";"Ashgrove";"Terrace";;;;
"Ashton Place";"Ashton";"Place";"Hillhead";;;
"Ashton Terrace";"Ashton";"Terrace";"Hillhead";;;
"Athole Gardens";"Athole ";"Gardens";"Kelvinside";;;
"Athole Place";"Athole ";"Place";;;;
"Athole Terrace";"Athole ";"Terrace";"Crosshill";;;
"Avenue Road";"Avenue";"Road";"Springburn";;;
"Avenue Street";"Avenue";"Street";;;;
"Avon Street";"Avon";"Street";"Kinning Park";;;
